"geoid","totpopraceeth","WNH","BNH","aianNH","asianNH","nhopiNH","hispanic","totpoprace","W","B","totpopraceinc","NHW100_125","NHW125_150","NHW150_200","NHW200up","Bund10","B10_15","B15_20","totpoppov","belowpov","inc100_125","inc125_150","inc150_200","inc200up","incund10","inc10_15","inc15_20","ICErace","ICEraceinc","percWNH","percBNH","perc_hispanic","perc_asianNH","perc_aianNH","perc_nhopiNH","percpov","ICEinc"
"25017327103",3676,3447,0,0,67,0,46,3676,3493,0,1436,203,129,195,139,0,0,0,3676,184,212,135,195,145,80,32,40,0.937704026115343,0.463788300835655,0.937704026115343,0,0.0125136017410229,0.0182263329706202,0,0,0.0500544069640914,0.372562674094708
"25017331300",6845,6172,126,0,240,0,147,6845,6301,138,2183,350,293,283,194,0,0,0,6845,77,380,321,290,260,18,18,29,0.88327246165084,0.513055428309666,0.901680058436815,0.0184075967859752,0.0214755295836377,0.0350620891161432,0,0,0.0112490869247626,0.543289051763628
"25017335100",5453,5234,9,0,122,0,57,5453,5277,9,2438,236,249,238,152,0,0,0,5412,238,236,249,276,152,128,82,72,0.958188153310105,0.35890073831009,0.9598386209426,0.00165046763249587,0.0104529616724739,0.0223730056849441,0,0,0.0439763488543976,0.258818703855619
"25017336300",6735,6064,58,0,293,0,214,6735,6278,58,2531,309,370,202,236,0,0,0,6722,233,351,388,214,236,124,17,59,0.891759465478842,0.441327538522323,0.900371195248701,0.00861172976985895,0.0317743132887899,0.0435040831477357,0,0,0.0346623028860458,0.390754642433821
"25017337300",4897,4074,0,37,448,0,226,4897,4149,0,2212,130,111,129,137,0,0,0,4876,289,144,131,143,212,76,82,79,0.83193792117623,0.229204339963834,0.83193792117623,0,0.0461507045129671,0.0914845823973862,0.00755564631406984,0,0.0592698933552092,0.177667269439421
"25017338400",5860,5344,0,0,506,0,10,5860,5354,0,1945,181,108,261,752,0,0,0,5860,278,198,130,293,848,16,0,27,0.911945392491468,0.669408740359897,0.911945392491468,0,0.00170648464163823,0.0863481228668942,0,0,0.0474402730375427,0.733161953727506
"25017339400",3185,2276,307,0,212,0,357,3185,2622,307,1411,48,59,93,22,40,10,0,3069,629,55,71,102,22,171,85,106,0.618210361067504,0.1218993621545,0.714599686028257,0.0963893249607535,0.112087912087912,0.0665620094191523,0,0,0.20495275333985,-0.0793763288447909
"25017368300",5460,3014,278,34,358,73,1663,5460,4037,278,2509,155,167,86,102,55,0,46,5441,755,285,177,157,107,192,170,263,0.501098901098901,0.163013152650458,0.552014652014652,0.0509157509157509,0.304578754578755,0.0655677655677656,0.00622710622710623,0.0133699633699634,0.138761257121853,0.0402550817058589
"25017339500",5927,4417,520,12,523,7,292,5927,4635,532,1590,183,140,103,45,0,0,0,4054,341,228,153,119,59,43,81,19,0.657499578201451,0.29622641509434,0.745233676396153,0.0877340981947022,0.0492660705247174,0.0882402564535178,0.00202463303526236,0.00118103593723638,0.0841144548593981,0.261635220125786
"25017310400",2862,1434,317,0,317,0,780,2862,1776,358,1012,52,15,5,35,20,0,0,2859,716,52,19,48,47,94,42,69,0.390286512928022,0.0859683794466403,0.50104821802935,0.110761705101328,0.272536687631027,0.110761705101328,0,0,0.250437215809724,-0.0385375494071146
"25017311100",2232,779,22,0,683,0,692,2232,1063,22,822,7,0,0,5,0,10,0,2232,746,17,10,0,5,48,82,40,0.33915770609319,0.0024330900243309,0.349014336917563,0.00985663082437276,0.310035842293907,0.306003584229391,0,0,0.334229390681004,-0.167883211678832
"25017311400",6456,2504,953,10,2107,0,747,6456,2693,953,2343,134,40,0,28,12,0,0,6382,934,262,86,0,28,112,122,166,0.240241635687732,0.0810926163038839,0.387856257744734,0.147614622057001,0.115706319702602,0.326363073110285,0.00154894671623296,0,0.146349106863052,-0.0102432778489117
"25017317203",4101,3606,0,0,416,0,51,4101,3657,0,1569,197,177,175,67,0,0,0,4024,128,204,221,186,76,69,47,49,0.879297732260424,0.392606755895475,0.879297732260424,0,0.0124359912216533,0.10143867349427,0,0,0.0318091451292246,0.332695984703633
"25017313101",5572,5067,33,0,341,0,103,5572,5163,33,1905,244,223,209,347,15,0,0,5572,138,271,223,215,391,45,55,52,0.903445800430725,0.529133858267717,0.909368269921034,0.00592246949030869,0.0184852835606604,0.0611988513998564,0,0,0.0247666905958363,0.497637795275591
"25011040701",4401,3881,50,46,45,0,318,4401,4041,64,1879,93,33,40,25,7,5,0,4242,987,93,33,58,25,121,219,129,0.870483980913429,0.0952634379989356,0.881845035219268,0.0113610543058396,0.0722563053851397,0.0102249488752556,0.0104521699613724,0,0.232673267326733,-0.138371474188398
"25011040300",3043,2963,1,0,0,0,72,3043,3035,1,1229,135,91,20,65,0,0,0,2995,142,135,91,20,65,36,59,43,0.973381531383503,0.253051261187958,0.973710154452843,0.000328623069339468,0.0236608609924417,0,0,0,0.0474123539232053,0.140764849471115
"25003935300",3737,3444,3,11,8,0,108,3737,3503,3,1642,67,28,9,9,0,0,0,3610,555,67,28,9,9,182,139,81,0.920792079207921,0.0688185140073082,0.921594862188922,0.000802782981000803,0.0289001873160289,0.00214075461600214,0.00294353759700294,0,0.153739612188366,-0.176004872107186
"25017383502",4272,3303,183,17,264,0,344,4272,3505,200,1073,86,50,102,81,0,0,0,2231,129,110,55,111,88,40,115,49,0.730337078651685,0.297297297297297,0.773174157303371,0.0428370786516854,0.0805243445692884,0.0617977528089888,0.00397940074906367,0,0.0578216046615867,0.149114631873253
"25017353800",4709,3330,275,12,596,0,329,4709,3594,320,2719,261,146,197,240,0,49,0,4619,668,285,192,198,300,119,131,121,0.648757698025058,0.292386906951085,0.707156508812911,0.058398810787853,0.0698662136334678,0.126566149925674,0.00254831174346995,0,0.144620047629357,0.222140492828246
"25017354100",2876,2131,165,7,302,0,213,2876,2229,165,1535,139,106,175,236,36,35,0,2654,384,158,106,175,251,136,72,10,0.683588317107093,0.381107491856678,0.74095966620306,0.0573713490959666,0.0740611961057024,0.105006954102921,0.00243393602225313,0,0.144687264506405,0.307491856677524
"25017358600",6173,4108,40,0,1540,0,332,6173,4160,40,2186,157,206,167,460,0,0,10,6160,231,190,245,331,628,96,46,30,0.658998866029483,0.448307410795974,0.665478697553864,0.00647983152438037,0.053782601652357,0.249473513688644,0,0,0.0375,0.559011893870082
